,caseId,caseName,issue,issueArea,decisionDirection,splitVote,majVotes,minVotes,petitioner,respondent,jurisdiction,threeJudgeFdc,caseOrigin,caseSource,lcDisagreement,lcDisposition,lcDispositionDirection,justice1,justice2,justice3,justice4,justice5,justice6,justice7,justice8,justice9,justice1Code,justice2Code,justice3Code,justice4Code,justice5Code,justice6Code,justice7Code,justice8Code,justice9Code,justice1Direction,justice2Direction,justice3Direction,justice4Direction,justice5Direction,justice6Direction,justice7Direction,justice8Direction,justice9Direction,justice1Vote,justice2Vote,justice3Vote,justice4Vote,justice5Vote,justice6Vote,justice7Vote,justice8Vote,justice9Vote,justice1Opinion,justice2Opinion,justice3Opinion,justice4Opinion,justice5Opinion,justice6Opinion,justice7Opinion,justice8Opinion,justice9Opinion,justice1Majority,justice2Majority,justice3Majority,justice4Majority,justice5Majority,justice6Majority,justice7Majority,justice8Majority,justice9Majority
4993,1981-014,WIDMAR et al. v. VINCENT et al.,30170,3,2,1,8,1,26,239,1,0,87,28,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
4995,1981-016,POLK COUNTY et al. v. DODSON,20400,2,1,1,8,1,111,213,1,0,71,28,1,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,1,2,1,1,1,4,1,4,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2
4996,1981-017,"HARRIS, SUPERINTENDENT, GREEN HAVEN CORRECTIONAL FACILITY v. RIVERA",10020,1,1,1,8,0,28,126,1,0,96,22,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,3,3,1,1,1,4,4,1,3,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2
4998,1981-019,"CENTRAL TRUST CO., ROCHESTER, N. Y. v. OFFICIAL CREDITORS' COMMITTEE OF GEIGER ENTERPRISES, INC., et al.",80030,8,1,1,7,2,135,114,1,0,97,22,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2
4999,1981-020,"BOAG v. MACDOUGALL, DIRECTOR, ARIZONA DEPARTMENT OF CORRECTIONS",10330,1,2,1,6,3,215,28,1,0,45,29,0,2,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2
5001,1981-022,"DONOVAN, SECRETARY OF LABOR, et al. v. RICHLAND COUNTY ASSOCIATION FOR RETARDED CITIZENS",70040,7,2,1,9,0,371,151,2,0,88,29,0,2,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,1,1,1,1,2,1,2,2,2,1,4,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,1,2
5003,1981-024,"CHARLES D. BONANNO LINEN SERVICE, INC. v. NATIONAL LABOR RELATIONS BOARD et al.",70070,7,2,1,5,4,151,382,1,0,21,21,0,2,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2
5006,1981-027,"TEXACO, INC., et al. v. SHORT et al.",40070,4,1,1,5,4,198,195,2,0,302,300,0,3,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2
5010,1981-031,"COMMUNITY COMMUNICATIONS CO., INC. v. CITY OF BOULDER, COLORADO, et al.",80010,8,2,1,5,3,124,3,1,0,52,30,1,3,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2
5012,1981-033,PRINCETON UNIVERSITY et al. v. SCHMID,90170,9,1,1,8,0,28,100,2,0,302,300,0,3,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5013,1981-034,EDDINGS v. OKLAHOMA,10130,1,2,1,5,4,126,28,1,0,302,300,0,2,1,WEBurger,WJBrennan,BRWhite,TMarshall,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,99,92,95,98,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,1,4,1,1,4,1,4,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5015,1981-036,"MERRION et al., DBA MERRION & BAYLESS, et al. v. JICARILLA APACHE TRIBE et al.",20150,2,2,1,6,3,198,170,1,0,93,30,1,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,1,2,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1
5017,1981-038,"SMITH, CORRECTIONAL SUPERINTENDENT v. PHILLIPS",40050,4,1,1,6,3,28,126,1,0,96,22,1,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2
5018,1981-039,TULLY et al. v. MOBIL OIL CORP. et al.,90130,9,1,1,7,1,28,198,2,0,95,10,0,2,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5020,1981-041,"HERWEG ET VIR v. RAY, GOVERNOR OF IOWA, et al.",20190,2,2,1,8,1,236,28,1,0,71,28,1,2,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,1,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2
5021,1981-042,"CITY OF MESQUITE v. ALADDIN'S CASTLE, INC.",40010,4,1,1,9,0,3,109,2,0,120,25,0,6,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,3,1,3,3,4,1,1,3,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2
5022,1981-043,JEWETT et ux. v. COMMISSIONER OF INTERNAL REVENUE,120020,12,2,1,6,3,240,369,1,0,9,29,0,2,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,1,1,2,2,1,1,4,1,1,4,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2
5024,1981-045,NEW ENGLAND POWER CO. v. NEW HAMPSHIRE et al.,80110,8,1,1,9,0,148,28,2,0,300,300,0,2,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
5025,1981-046,"BALDRIGE, SECRETARY OF COMMERCE, et al. v. SHAPIRO, ESSEX COUNTY EXECUTIVE",50040,5,1,1,9,0,316,5,1,0,92,23,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
5026,1981-047,HAVENS REALTY CORP. et al. v. COLEMAN et al.,90280,9,2,1,9,0,225,222,1,0,126,24,0,4,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
5027,1981-048,"ZIPES et al. v. TRANS WORLD AIRLINES, INC.",20140,2,2,1,8,0,154,151,1,0,66,27,0,2,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,1,2,2,1,2,1,1,1,2,2,1,1,2,3,2,1,2,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1
5028,1981-049,G.D. SEARLE & CO. v. COHN et al.,80110,8,2,1,8,1,200,208,1,0,92,23,0,3,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,4,1,2,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2
5029,1981-050,LOGAN v. ZIMMERMAN BRUSH CO. et al.,40020,4,2,1,9,0,145,151,2,0,300,300,0,2,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2
5030,1981-051,WHITE v. NEW HAMPSHIRE DEPARTMENT OF EMPLOYMENT SECURITY et al.,60010,6,2,1,9,0,111,7,1,0,91,21,0,3,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2
5031,1981-052,"RAILWAY LABOR EXECUTIVES' ASSN. v. GIBBONS, TRUSTEE, et al.",80030,8,1,1,9,0,145,114,2,0,66,66,0,2,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1
5032,1981-053,"MURPHY, DISTRICT JUDGE, FOURTH JUDICIAL DISTRICT OF NEBRASKA, DOUGLAS COUNTY v. HUNT",90130,9,1,1,8,1,16,100,2,0,89,28,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2
5033,1981-054,"VILLAGE OF HOFFMAN ESTATES et al. v. THE FLIPSIDE, HOFFMAN ESTATES, INC.",30010,3,1,1,8,0,3,238,2,0,66,27,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5034,1981-055,"ROSE, WARDEN v. LUNDY",10020,1,1,1,5,4,28,215,1,0,117,26,0,2,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,3,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2
5035,1981-056,MARINE BANK v. WEAVER ET UX.,80120,8,1,1,9,0,113,135,1,0,111,23,1,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1
5036,1981-057,UNITED MINE WORKERS OF AMERICA HEALTH & RETIREMENT FUNDS et al. v. ROBINSON et al.,70180,7,2,1,9,0,249,145,1,0,55,32,1,3,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,1,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,2,1,2
5037,1981-058,BREAD POLITICAL ACTION COMMITTEE et al. v. FEDERAL ELECTION COMMISSION et al.,30140,3,2,1,9,0,201,343,2,0,66,27,0,4,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,2
5038,1981-059,"WAINWRIGHT, SECRETARY, FLORIDA DEPARTMENT OF CORRECTIONS v. TORNA",10120,1,1,1,7,1,28,137,1,0,58,25,0,4,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,2,2,1,1,2,2,1,1,2,4,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,2,2
5040,1981-061,"FLETCHER, SUPERINTENDENT, BELL COUNTY FORESTRY CAMP v. WEIR",10090,1,1,1,7,1,28,100,1,0,74,26,0,2,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5041,1981-062,"U.S. INDUSTRIES/FEDERAL SHEET METAL, INC., et al., v. DIRECTOR, OFFICE OF WORKERS' COMPENSATION PROGRAMS, UNITED STATES DEPARTMENT OF LABOR, et al.",80040,8,1,1,6,2,151,145,1,0,32,32,0,8,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2
5042,1981-063,"LANE, CORRECTIONS DIRECTOR v. WILLIAMS et al.",90130,9,1,1,6,3,28,126,1,0,66,27,0,2,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1
5043,1981-064,MCELROY v. UNITED STATES,10430,1,1,1,8,1,100,27,1,0,111,23,1,2,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5045,1981-066,UNITED TRANSPORTATION UNION v. LONG ISLAND RAIL ROAD CO. et al.,70070,7,2,1,9,0,249,28,1,0,94,22,0,3,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
5046,1981-067,UNDERWRITERS NATIONAL ASSURANCE CO. v. NORTH CAROLINA LIFE & ACCIDENT & HEALTH INSURANCE GUARANTY ASSN. et al.,90360,9,2,1,9,0,171,171,1,0,302,301,0,2,3,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5047,1981-068,UNITED STATES v. NEW MEXICO et al.,80100,8,2,1,9,0,27,28,1,0,93,30,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2
5048,1981-069,"SANTOSKY et al. v. KRAMER, COMMISSIONER, ULSTER COUNTY DEPARTMENT OF SOCIAL SERVICES, et al.",20170,2,2,1,5,4,202,5,1,0,302,301,0,9,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,1,2,1
5049,1981-070,UNITED STATES v. MACDONALD,10590,1,1,1,6,3,27,100,1,0,98,24,1,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,1,1,1,1,1,1,2,2,2,1,3,3,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2
5050,1981-071,"WEINBERGER, SECRETARY OF DEFENSE, et al. v. ROSSI et al.",20070,2,2,1,9,0,324,8,1,0,55,32,0,3,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,4,1,4,1,1,1,4,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2
5053,1981-074,AMERICAN TOBACCO CO. et al. v. PATTERSON et al.,20060,2,1,1,5,4,151,182,1,0,126,24,1,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5054,1981-075,MILLS v. HABLUETZEL,20200,2,2,1,9,0,175,153,2,0,302,301,0,2,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2
5055,1981-076,"ENGLE, CORRECTIONAL SUPERINTENDENT v. ISAAC",10020,1,1,1,7,2,28,215,1,0,103,26,1,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2
5057,1981-078,"SCHWEIKER, SECRETARY OF HEALTH AND HUMAN SERVICES v. MCCLURE et al.",40050,4,1,1,9,0,363,180,2,0,50,50,0,12,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,1,2,2,3,3,1,1,3,3,2,1,4,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2
5059,1981-080,"INTERNATIONAL LONGSHOREMEN'S ASSOCIATION, AFL-CIO, et al. v. ALLIED INTERNATIONAL, INC.",70020,7,2,1,9,0,249,234,1,0,80,21,0,4,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2
5060,1981-081,"LARSON, COMMISSIONER OF SECURITIES, MINNESOTA DEPARTMENT OF COMMERCE, et al. v. VALENTE et al.",30170,3,2,1,5,4,28,130,2,0,83,28,0,6,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5061,1981-082,"PULLMAN-STANDARD, A DIVISION OF PULLMAN, INC. v. SWINT et al.",20060,2,1,1,7,2,151,182,1,0,42,25,0,3,2,WEBurger,WJBrennan,BRWhite,TMarshall,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,99,92,95,98,100,101,102,103,104,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2
5062,1981-083,"WEINBERGER, SECRETARY OF DEFENSE, et al. v. ROMERO-BARCELO et al.",80130,8,1,1,8,1,324,28,1,0,112,21,0,5,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2
5064,1981-085,"MERRILL LYNCH, PIERCE, FENNER & SMITH, INC. v. CURRAN et al.",90290,9,2,1,5,4,119,173,1,0,81,26,1,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5065,1981-086,"ZANT, WARDEN v. STEPHENS",10130,1,1,1,6,3,28,126,1,0,59,25,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2
5067,1981-088,FINNEGAN et al. v. LEU et al.,70060,7,2,1,9,0,247,249,1,0,103,26,0,2,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,1,2,2,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2
5068,1981-089,GREENE et al. v. LINDSEY et al.,40020,4,2,1,6,3,28,241,2,0,74,26,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,4,4,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2
5069,1981-090,KREMER v. CHEMICAL CONSTRUCTION CORP.,20060,2,1,1,5,4,145,151,1,0,96,22,0,2,1,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
5070,1981-091,"NORTH HAVEN BOARD OF EDUCATION et al. v. BELL, SECRETARY OF EDUCATION, et al.",20140,2,2,1,6,3,21,330,1,0,53,22,0,4,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,2,2,2,2,2,2,1,3,1,4,3,1,1,1,3,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2
5072,1981-093,UNITED STATES DEPARTMENT OF STATE et al. v. WASHINGTON POST CO.,50040,5,1,1,9,0,328,190,1,0,55,32,0,2,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,1,1,2,2,1,1,4,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2
5074,1981-095,"HOPPER, CORRECTIONS COMMISSIONER, et al. v. EVANS",10130,1,1,1,7,2,28,137,1,0,43,25,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,4,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2
5075,1981-096,FEDERAL BUREAU OF INVESTIGATION et al. v. ABRAMSON,50040,5,1,1,5,4,335,226,1,0,55,32,0,3,2,TMarshall,WJBrennan,BRWhite,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,98,92,95,99,100,101,102,103,104,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1
